tick,orgs,occupied,lineages,topShare,simpson,shannonNats,pielouEven,giniLineage,meanCellsPerOrg,perimeterRatio,avgComponents,budget,measured,drift,tapeCorr,stillbirths,repTry,repOk,birthRepro,birthSplit,splitEvents,splitFrags,splitFragMean,splitSingletonRatio,splitKeepMean,xenoTry,xenoOk,xenoDriveMean,socialCohMean,actionEntropy,noveltyProxy,invOpc_p50,invOpc_p90,invOpc_p99,invOpc_mean,invOpc_corr_age,invOpc_corr_cells,invOpc_corr_energy
30,30,112,3,0.392857,0.660714,1.089797,0.991976,0.071429,3.733333,0.330357,2.000000,132911.000000,132911.000000,0.000000,67,0,91,1,1,0,0,0,0.000000,0.000000,0.000000,1156,168,0.363951,0.917905,2.321079,2.194284,0.000000,0.000000,1.000000,0.133333,0.000000,-0.284875,0.053939
60,30,158,5,0.411392,0.689873,1.273710,0.791401,0.407595,5.266667,0.389241,2.400000,132911.000000,132911.000000,-0.000000,91,0,199,1,1,0,0,0,0.000000,0.000000,0.000000,645,19,0.242242,0.861813,2.352735,2.312963,0.000000,0.000000,0.000000,0.033333,0.034483,-0.201057,-0.116532
90,24,180,5,0.427778,0.689136,1.272088,0.790393,0.413333,7.500000,0.455556,2.916667,132911.000000,132911.000000,0.000000,87,0,255,1,1,0,0,0,0.000000,0.000000,0.000000,386,5,0.213704,0.879130,2.425513,2.360643,0.000000,0.000000,1.000000,0.083333,0.062869,-0.236189,-0.094409
120,20,196,5,0.423469,0.689713,1.270789,0.789586,0.414286,9.800000,0.492347,3.300000,132911.000000,132911.000000,-0.000000,81,0,438,0,0,1,1,1,4.000000,0.000000,10.000000,192,10,0.190897,0.905776,2.374086,2.327150,0.000000,0.000000,0.000000,0.050000,0.052632,-0.155329,-0.161800
150,20,197,6,0.360406,0.727872,1.423897,0.794692,0.444162,9.850000,0.461929,2.500000,132911.000000,132911.000000,0.000000,60,0,351,1,1,3,3,3,3.000000,0.000000,12.666667,49,1,0.240902,0.904249,2.428176,2.495274,0.000000,0.000000,0.000000,0.050000,0.096344,0.161283,0.101121
180,18,176,6,0.346591,0.729468,1.429291,0.797702,0.435606,9.777778,0.465909,2.222222,132911.000000,132911.000000,0.000000,78,1,117,1,1,1,1,1,2.000000,0.000000,12.000000,1,0,0.090188,0.914600,2.455725,2.520841,0.000000,0.000000,0.000000,0.055556,0.084807,-0.081729,-0.084774
210,17,150,5,0.360000,0.720267,1.398178,0.868737,0.344000,8.823529,0.463333,1.882353,132911.000000,132911.000000,0.000000,47,0,68,1,1,1,1,1,3.000000,0.000000,4.000000,0,0,0.000000,0.931461,2.422348,2.465003,0.000000,0.000000,1.000000,0.117647,0.091287,-0.174322,-0.151470
240,16,126,5,0.404762,0.702822,1.355976,0.842515,0.384127,7.875000,0.460317,1.687500,132911.000000,132911.000000,-0.000000,54,0,138,1,1,1,1,1,5.000000,0.000000,6.000000,0,0,0.000000,0.927096,2.349338,2.353988,0.000000,0.000000,1.000000,0.125000,0.097590,-0.169170,-0.141950
270,15,114,5,0.473684,0.619883,1.148867,0.713831,0.484211,7.600000,0.469298,1.800000,132911.000000,132911.000000,-0.000000,68,0,142,0,0,1,1,1,2.000000,0.000000,3.000000,0,0,0.000000,0.927564,2.295278,2.042687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
300,12,102,4,0.460784,0.588043,1.011713,0.729797,0.411765,8.500000,0.480392,1.916667,132911.000000,132911.000000,-0.000000,40,0,51,1,1,0,0,0,0.000000,0.000000,0.000000,4,0,0.067367,0.912878,2.153406,1.854338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
